val_OA,epoch,val_mIoU,val_F1,step,train_F1,train_OA,train_mIoU
0.8837193250656128,0,0.6145563125610352,0.8654986619949341,91,,,
,0,,,91,0.5799137949943542,0.7347937822341919,0.46337905526161194
0.8967241644859314,1,0.7064160108566284,0.8120964765548706,183,,,
,1,,,183,0.660942018032074,0.8155819773674011,0.5556180477142334
0.9056660532951355,2,0.7509210705757141,0.8508167862892151,275,,,
,2,,,275,0.776046097278595,0.8320311903953552,0.6481572389602661
0.9096270203590393,3,0.7634509205818176,0.8600527048110962,367,,,
,3,,,367,0.7982634902000427,0.8443297743797302,0.6748167276382446
0.912300169467926,4,0.7697178721427917,0.8643240928649902,459,,,
,4,,,459,0.8083591461181641,0.852203905582428,0.6882928013801575
0.9163276553153992,5,0.7856429815292358,0.8756756782531738,551,,,
